Rank,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
62,"Henderson city, Nevada",257729,257073,257532,258834,263409,268450,274474,282423,289784,299631,310390
63,"St. Paul city, Minnesota",285068,285067,285465,288812,291244,295045,297674,300010,303155,305255,307695
64,"St. Louis city, Missouri",319294,319275,319318,319294,319387,318459,317395,315878,312389,307866,302838
65,"Cincinnati city, Ohio",296943,296893,296837,296020,296758,297775,298509,299338,299707,301648,302605
66,"Pittsburgh city, Pennsylvania",305704,305376,305410,306107,306470,307022,306092,304211,304814,301720,301048
67,"Greensboro city, North Carolina",269666,268924,269587,272396,276024,279244,282275,284808,289597,292209,294722
68,"Anchorage municipality, Alaska",291826,291829,293310,296154,298233,301155,299927,297613,297216,294264,291538
69,"Plano city, Texas",259841,259857,261222,266963,272240,274587,278062,283416,286576,286815,288061
70,"Lincoln city, Nebraska",258379,258602,259261,262466,265663,268937,273945,277178,281254,284506,287401
71,"Orlando city, Florida",238300,238813,239308,243585,249930,255156,262507,270622,278130,281143,285713
72,"Irvine city, California",212375,212043,213392,220261,229083,236134,247283,255614,265721,276413,282572
73,"Newark city, New Jersey",277140,277107,277158,277540,277590,278152,278991,279629,280628,281014,282090
74,"Toledo city, Ohio",287208,287319,287030,285347,283129,282303,280672,279816,278780,276618,274975
75,"Durham city, North Carolina",228330,229878,230710,235308,241107,247002,253316,258581,265355,269578,274291
76,"Chula Vista city, California",243916,243923,244656,248339,252457,256819,260069,264490,266610,269429,271651
77,"Fort Wayne city, Indiana",253691,253739,254162,256253,257615,259354,260614,262235,263777,265455,267633
78,"Jersey City city, New Jersey",247597,247639,248363,252910,256148,257243,258794,260332,260626,263401,265549
79,"St. Petersburg city, Florida",244769,245176,245226,245856,246671,248492,252282,255206,259556,262928,265098
80,"Laredo city, Texas",236091,235809,236859,241266,245877,249822,253017,255538,258102,259634,261639
81,"Madison city, Wisconsin",233209,233163,233716,236877,239872,243246,245870,248714,252485,255473,258054
82,"Chandler city, Arizona",236123,236187,236479,236854,237677,239900,240893,243679,247845,253600,257165
83,"Buffalo city, New York",261310,261372,261301,260706,260176,260041,259584,258339,256960,256430,256304
84,"Lubbock city, Texas",229573,229632,230796,233601,236055,239411,244071,247644,251086,253555,255885
85,"Scottsdale city, Arizona",217385,217464,217615,220792,225213,228952,234053,241197,248100,251556,255310
86,"Reno city, Nevada",225221,225411,225750,227160,229069,231161,234301,238335,242476,247106,250998
87,"Glendale city, Arizona",226721,226099,226168,229233,233564,236885,240020,243184,246000,247899,250702
88,"Gilbert town, Arizona",208453,208387,209435,211418,215880,221598,227294,232401,237137,242465,248279
89,"Winston-Salem city, North Carolina",229617,229634,230033,231847,233867,235741,238508,239696,241656,244373,246328
90,"North Las Vegas city, Nevada",216961,216670,216843,218302,221910,225435,228806,232689,236694,240681,245949
91,"Norfolk city, Virginia",242803,242827,242998,243632,246141,245449,246587,246534,245843,244922,244076
92,"Chesapeake city, Virginia",222209,222306,223550,225332,228075,230330,233380,235168,237591,240327,242634
93,"Garland city, Texas",226876,226910,227355,230078,233775,234783,235761,237331,236500,238560,242507
94,"Irving city, Texas",216290,216285,216867,219877,225812,229053,232736,237358,240086,240834,242242
95,"Hialeah city, Florida",224669,224687,225460,230396,232730,234616,235145,236339,236886,239019,238942
96,"Fremont city, California",214089,214072,214561,217400,221479,224888,228397,231697,233378,234237,237807
97,"Boise City city, Idaho",205671,209389,209578,212620,215681,217436,219471,220938,224728,227621,228790
98,"Richmond city, Virginia",204214,204327,204256,206325,210741,213815,217003,220847,225332,226968,228783
99,"Baton Rouge city, Louisiana",229493,229422,229369,228595,228834,228280,227774,227044,226397,223948,221599
100,"Spokane city, Washington",208916,209455,209523,208949,209294,209745,210612,212179,214990,217028,219190
101,"Des Moines city, Iowa",203433,204183,205004,207870,210230,212035,214390,215372,216487,217006,216853
102,"Tacoma city, Washington",198397,198243,198227,199493,201531,202130,203762,206801,210268,213430,216279
103,"San Bernardino city, California",209924,209662,209853,211402,212444,213111,213588,214709,215431,216296,215941
104,"Modesto city, California",201165,203119,203314,204041,205108,206182,207781,209366,211334,213198,215030
105,"Fontana city, California",196069,196472,197342,199916,201295,202804,204152,206377,208971,211388,213739
106,"Santa Clarita city, California",176320,204142,204213,205317,206285,207123,208180,209247,209668,209895,210089
107,"Birmingham city, Alabama",212237,212003,211743,211566,210749,211230,211109,211703,211436,210966,209880
108,"Oxnard city, California",197899,197964,198465,199904,201084,202858,204626,206408,207754,209173,209877
109,"Fayetteville city, North Carolina",200564,200565,208335,208728,208873,211051,210079,209624,211126,209215,209468
110,"Moreno Valley city, California",193365,193305,194241,196577,198218,200224,201874,202958,204742,206713,209050
111,"Rochester city, New York",210565,210684,210452,210710,210600,210454,209626,208709,207729,206483,206284
112,"Glendale city, California",191719,191687,191726,192681,193941,195450,198420,199452,200444,202146,201361
113,"Huntington Beach city, California",189992,191037,191303,193010,194237,197212,199757,200855,200541,201191,200641
114,"Salt Lake City city, Utah",186440,186443,186571,188181,189715,191661,191398,191737,194182,200570,200591
115,"Grand Rapids city, Michigan",188040,188031,188003,189087,190817,192991,194352,195073,196546,199082,200217
116,"Amarillo city, Texas",190695,190666,191255,193747,195389,196243,197188,197889,198867,199919,199924
117,"Yonkers city, New York",195976,196018,196405,197575,198075,198809,199434,199721,200083,199762,199663
118,"Aurora city, Illinois",197899,197914,198157,199100,199641,199826,200245,200416,200945,200579,199602
119,"Montgomery city, Alabama",205764,205501,205593,205180,203937,202426,201435,200993,200360,199892,198218
120,"Akron city, Ohio",199110,199135,199003,199016,198884,198901,198937,198524,198021,198092,198006
121,"Little Rock city, Arkansas",193524,193490,193928,195210,196504,197084,197533,198135,198673,198418,197881
122,"Huntsville city, Alabama",180105,180416,180960,182167,183588,185841,187659,190147,192260,195056,197318
123,"Augusta-Richmond County consolidated government (balance), Georgia",195844,195847,196192,195643,196834,196479,196473,196663,197146,196828,196939
124,"Port St. Lucie city, Florida",164603,164194,164843,166276,167904,169438,172721,177784,183684,189265,195248
125,"Grand Prairie city, Texas",175396,175468,175979,178921,182089,183994,185970,188577,192300,194214,194614
126,"Columbus city, Georgia",189885,190573,191105,195244,198944,203198,200552,198674,196198,193766,194160
127,"Tallahassee city, Florida",181376,181211,181596,183140,186464,185783,187286,188894,189221,192048,193551
128,"Overland Park city, Kansas",173372,173329,174041,176020,178687,180948,184011,186224,189272,191322,192536
129,"Tempe city, Arizona",161719,161777,162326,164481,168585,170807,175730,179221,185004,185931,192364
130,"McKinney city, Texas",131117,131160,132943,137921,143506,149207,157139,163458,173336,181757,191645
131,"Mobile city, Alabama",195111,194664,194577,193992,193858,193555,192979,192377,191885,190501,189572
132,"Cape Coral city, Florida",154305,154314,154735,157314,160548,164323,168345,173468,178362,183442,189343
133,"Shreveport city, Louisiana",199311,200405,200869,201746,201790,199923,197740,196508,194222,191638,188987
134,"Frisco city, Texas",116989,117170,118192,123483,128403,136733,144878,154157,163841,177286,188170
135,"Knoxville city, Tennessee",178874,178310,178432,180084,181270,182177,183031,184334,185193,186973,187500
136,"Worcester city, Massachusetts",181045,181009,181878,182489,182694,183458,184698,184910,185139,185417,185877
137,"Brownsville city, Texas",175023,174748,175400,178241,179828,180913,182009,181984,182888,183066,183392
138,"Vancouver city, Washington",161791,167185,167622,169058,170056,171594,173442,176430,178627,180379,183012
139,"Fort Lauderdale city, Florida",165521,165763,166138,169021,170941,172329,175228,177407,178884,179886,182595
140,"Sioux Falls city, South Dakota",153888,153972,154526,156446,159833,163472,167048,170206,173682,178000,181883
141,"Ontario city, California",163924,163925,164369,165759,166665,167166,168199,170332,172709,175482,181107
142,"Chattanooga city, Tennessee",167674,170309,170559,172032,173652,174830,174461,175851,177104,178897,180557
143,"Providence city, Rhode Island",178042,177844,178100,178395,178890,178784,179217,179359,179720,179503,179335
144,"Newport News city, Virginia",180719,180994,180925,180098,180094,181320,181576,180948,180179,179398,178626
145,"Rancho Cucamonga city, California",165269,165380,166232,167945,170015,170910,173355,174367,175975,177115,177751
146,"Santa Rosa city, California",167815,175082,175304,176351,177263,178933,180921,181968,182475,182248,177586
147,"Oceanside city, California",167086,167382,167919,169853,171467,173088,174259,175188,175495,175930,176080
148,"Salem city, Oregon",154637,154909,155229,156146,157369,158843,160721,163251,166599,169850,173442
149,"Elk Grove city, California",153015,153010,153394,155631,158123,160314,162800,166090,169243,171503,172886
150,"Garden Grove city, California",170883,170956,171186,172971,173866,174518,174556,174522,174805,173646,172646
151,"Pembroke Pines city, Florida",154750,154898,155268,158272,160258,162160,164103,165809,168315,170657,172374
152,"Peoria city, Arizona",154065,154090,154891,155050,155352,156371,157780,160432,164212,168192,172259
153,"Eugene city, Oregon",156185,156428,156527,157411,158241,158451,160284,162960,166016,169558,171245
154,"Corona city, California",152374,152511,153249,154882,157608,158986,160656,163391,166306,167503,168819
155,"Cary town, North Carolina",135234,135777,137021,142116,146073,151257,155379,159661,162426,165897,168160
156,"Springfield city, Missouri",159498,159453,159484,160338,162015,163810,164854,166231,166672,167387,168122
157,"Fort Collins city, Colorado",143986,144855,145267,146602,149390,152462,156458,160605,162583,165099,167830
158,"Jackson city, Mississippi",173514,173590,173738,175168,174845,172943,172030,170943,169080,166909,164422
159,"Alexandria city, Virginia",139966,140008,140740,144220,147314,149674,151431,153863,157045,159654,160530
160,"Hayward city, California",144186,144332,144746,146845,149338,151709,154350,157890,159147,159994,159620
161,"Lancaster city, California",156633,156642,156822,158087,158302,159136,159753,159973,159831,159618,159053
162,"Lakewood city, Colorado",142980,142626,142786,144102,145418,146909,149481,152122,154117,155048,156798
163,"Clarksville city, Tennessee",132929,132897,133480,136101,142553,142194,145842,148180,149203,153054,156794
164,"Palmdale city, California",152750,152751,152962,154035,154942,156614,156929,157196,156992,156808,156667
165,"Salinas city, California",150441,150615,150904,152454,153901,155097,155913,156512,157144,156824,156259
166,"Springfield city, Massachusetts",153060,153173,153613,153882,154056,154186,154513,154740,154278,154498,155032
167,"Hollywood city, Florida",140768,140711,141018,143422,145022,146081,147039,148357,151685,153393,154823
168,"Pasadena city, Texas",149043,149307,149529,151159,152690,153580,154509,154624,154632,153968,153219
169,"Sunnyvale city, California",140081,140060,140465,143812,146474,148121,149856,151715,153633,153254,153185
170,"Macon-Bibb County, Georgia",(X),155795,155810,156160,156610,155036,154333,153948,153180,152892,153095
171,"Kansas City city, Kansas",145786,145785,145883,146233,147482,148942,150187,151635,152617,152938,152958
172,"Pomona city, California",149058,149030,149083,149682,150484,151137,152325,152553,152637,152659,152361
173,"Escondido city, California",143911,143972,144437,146102,147604,148860,149799,150824,151383,151399,152213
174,"Killeen city, Texas",127921,127696,128980,130801,134234,136322,137657,140263,143045,145480,149103
175,"Naperville city, Illinois",141853,142154,142388,143189,144015,144912,146228,147012,147243,147689,148304
176,"Joliet city, Illinois",147433,147435,147654,147900,148227,147910,147767,147626,148001,148065,148099
177,"Bellevue city, Washington",122363,127885,128358,130271,132194,133823,136445,139918,141927,145451,147599
178,"Rockford city, Illinois",152871,153283,153148,152122,151267,150629,149415,148496,147781,147028,146526
179,"Savannah city, Georgia",136286,137002,137492,140476,142388,142660,143949,145221,145883,145829,145862
180,"Paterson city, New Jersey",146199,146181,146397,145595,146136,146089,145970,145911,145682,145804,145627
181,"Torrance city, California",145438,145173,145183,145811,146340,146791,147001,147155,146660,146025,145182
182,"Bridgeport city, Connecticut",144229,144239,144858,146131,147097,147726,147892,147460,146353,145408,144900
183,"McAllen city, Texas",129877,131559,132123,134717,136434,137649,139027,140323,142418,142841,143433
184,"Mesquite city, Texas",139824,139593,139860,141421,143297,143565,144495,144977,144681,144236,142816
185,"Syracuse city, New York",145170,145206,145270,144566,144462,145096,144385,143827,143181,142300,142749
186,"Midland city, Texas",111147,111190,111284,113949,119830,124223,128446,133523,135019,136353,142344
187,"Pasadena city, California",137122,137120,137123,137678,138163,139391,139665,141211,141833,141995,141371
188,"Murfreesboro city, Tennessee",108755,109073,109524,111716,113824,116872,120562,125585,131242,136103,141344
189,"Miramar city, Florida",122041,121958,122299,125046,128695,130127,134504,136454,138925,140123,140823
190,"Dayton city, Ohio",141527,141995,142355,141988,141909,142029,141118,140834,140858,140416,140640
191,"Fullerton city, California",135161,135237,135299,136401,138153,138716,138949,140131,140648,139928,139640
192,"Olathe city, Kansas",125872,125900,126249,128295,129945,131789,132839,134279,135883,137501,139605
193,"Orange city, California",136416,136432,136762,138207,139070,139705,139189,140313,140434,140100,139484
194,"Thornton city, Colorado",118772,118784,119391,121919,124400,127096,129584,132301,134718,136945,139436
195,"Roseville city, California",118788,119156,119795,122596,124311,126659,128304,129961,132699,135101,139117
196,"Denton city, Texas",113383,116371,117058,120137,123631,125100,128309,131204,134266,136082,138541
197,"Waco city, Texas",124805,124831,125409,126480,127543,129065,129925,131882,133517,136433,138183
198,"Surprise city, Arizona",117517,117501,117674,119648,122322,125114,127982,130449,132971,134915,138161
199,"Carrollton city, Texas",119097,119176,119521,122463,125410,126459,128245,132890,133470,135777,136879
200,"West Valley City city, Utah",129480,129491,129666,131028,132527,133814,134506,135981,136751,136408,136401
201,"Charleston city, South Carolina",120083,120574,120911,123202,125428,127456,129654,132632,134620,135745,136208
202,"Warren city, Michigan",134056,134056,134067,134147,134574,135305,135665,135377,135233,135127,134587
203,"Hampton city, Virginia",137436,137384,137336,136528,137083,137243,137597,136187,135238,134581,134313
204,"Gainesville city, Florida",124354,124266,124443,125414,125743,126104,127340,129159,131474,132018,133857
205,"Visalia city, California",124442,124520,124867,125657,126459,127379,128594,129529,130874,132610,133800
206,"Coral Springs city, Florida",121096,122091,122391,124632,126182,127296,128366,129653,131237,132987,133507
207,"Columbia city, South Carolina",129272,130432,130783,131286,131744,131526,131785,133584,134079,133869,133451
208,"Cedar Rapids city, Iowa",126326,126430,126701,128064,128306,128663,129499,130635,131169,132333,133174
209,"Sterling Heights city, Michigan",129699,129675,129709,130031,130671,131528,132148,132051,132528,132731,132964
210,"New Haven city, Connecticut",129779,129884,129817,130839,131117,130915,130618,130391,130424,130640,130418
211,"Stamford city, Connecticut",122643,122633,122782,123980,125054,126318,127974,128407,129042,129951,129775
212,"Concord city, California",122067,122168,122507,123517,124697,125926,127176,128319,129014,129502,129688
213,"Kent city, Washington",92411,118614,119063,120962,123155,124522,125794,127324,128316,129372,129618
214,"Santa Clara city, California",116468,116497,116808,117888,119420,120590,122097,126154,126561,126803,129488
215,"Elizabeth city, New Jersey",124969,124972,125262,125789,126605,127305,127698,127746,128074,128205,128885
216,"Round Rock city, Texas",99887,100010,100756,103836,106470,109507,112613,115871,120705,123463,128739
217,"Thousand Oaks city, California",126683,126481,126729,127330,127693,128287,128729,128796,128715,128484,127690
218,"Lafayette city, Louisiana",120623,121667,121834,122646,123559,124840,126000,126875,127156,126365,126143
219,"Athens-Clarke County unified government (balance), Georgia",115452,115441,116154,116971,118643,119629,119131,122252,123559,125462,125964
220,"Topeka city, Kansas",127473,127631,127913,128216,128087,127726,127496,127422,126989,126583,125904
221,"Simi Valley city, California",124237,124243,124469,125034,125319,125939,126338,126290,126196,126366,125851
222,"Fargo city, North Dakota",105549,105610,106008,108104,110821,113676,115648,118027,120126,122469,124844
223,"Norman city, Oklahoma",110925,110925,111380,113872,115629,118136,117693,119745,121512,122965,123471
224,"Columbia city, Missouri",108500,109044,109427,111501,113549,115441,117034,118699,120494,121892,123180
225,"Abilene city, Texas",117063,117512,117806,118749,119852,119792,120647,121694,121856,122210,122999
226,"Wilmington city, North Carolina",106476,106454,106750,108125,109645,111671,113309,115024,118722,120753,122607
227,"Hartford city, Connecticut",124775,124770,125359,125431,125277,125142,124683,124338,123679,122902,122587
228,"Victorville city, California",115903,115899,116281,117911,119885,120783,121213,121599,121912,122191,122312
229,"Pearland city, Texas",91252,93128,94083,96311,99361,102955,106192,111553,116332,119831,122149
230,"Vallejo city, California",115942,115897,116127,116694,117604,118575,119644,120558,121064,121644,121913
231,"Ann Arbor city, Michigan",113934,113973,114160,115519,116074,116818,118733,119931,121035,121621,121890
232,"Berkeley city, California",112580,112494,112875,113953,115311,116968,118735,120739,121487,121999,121643
233,"Allentown city, Pennsylvania",118032,118097,118114,118774,118880,118832,119181,120068,120371,120966,121433
234,"Richardson city, Texas",99223,99251,99581,101657,103705,105180,109163,110871,113890,117028,120981
235,"Odessa city, Texas",99940,99876,99828,102039,105985,110287,114620,118614,117325,116910,120568
236,"Arvada city, Colorado",106433,106722,106882,108036,110192,111846,113679,115409,117726,118998,120492
237,"Cambridge city, Massachusetts",105162,105176,105038,105905,107911,112069,113019,113497,115730,117133,118977
238,"Sugar Land city, Texas",78817,107850,108417,109858,111283,113501,116815,118304,118560,118611,118600
239,"Beaumont city, Texas",118296,117278,117381,117871,117001,118052,117769,118591,119109,119266,118428
240,"Lansing city, Michigan",114297,114253,114309,114533,114653,114736,115102,115358,116635,117882,118427
241,"Evansville city, Indiana",117429,120075,120095,120207,120263,120296,120154,119442,118915,118288,117963
242,"Rochester city, Minnesota",106769,106801,107025,108066,108893,110408,111183,112091,113927,115405,116961
243,"Independence city, Missouri",116830,116800,116881,116898,117305,117275,117504,117241,117232,117127,116925
244,"Fairfield city, California",105321,105425,105562,106208,107471,109130,110735,112411,114545,115887,116884
245,"Provo city, Utah",112488,112487,112919,115181,115560,116127,115397,114590,116573,117518,116702
246,"Clearwater city, Florida",107685,109019,108933,109075,109420,110170,111065,112876,114157,115476,116478
247,"College Station city, Texas",93857,94221,94656,95659,97763,100620,103497,109034,111238,113892,116218
248,"West Jordan city, Utah",103712,103601,104034,106356,108155,109812,110503,111394,113380,114070,116046
249,"Carlsbad city, California",105328,105329,105679,107468,108982,110723,111688,112785,113423,114641,115877
250,"El Monte city, California",113475,113507,113658,114088,114859,115447,115685,115908,115657,115618,115586
251,"Murrieta city, California",103466,103680,104181,105329,106491,107379,108089,109451,111606,113116,114985
252,"Temecula city, California",100097,100020,100710,102644,104308,106102,108713,111185,112451,114006,114742
253,"Springfield city, Illinois",116250,116998,117141,117780,117930,117637,117501,117231,116540,115688,114694
254,"Palm Bay city, Florida",103190,104008,104140,104125,104824,105341,106252,108213,110385,112326,114194
255,"Costa Mesa city, California",109960,110078,110225,111162,111830,112307,112577,112930,113092,113825,113615
256,"Westminster city, Colorado",106114,106144,106442,107746,109101,110458,111567,112475,113034,113254,113479
257,"North Charleston city, South Carolina",97471,97559,97939,99895,102014,104096,106832,108697,109859,110932,113237
258,"Miami Gardens city, Florida",107167,107162,107518,109945,111149,111939,112036,112739,113128,113504,113069
259,"Manchester city, New Hampshire",109565,109549,109613,110016,110635,110758,110951,111039,111659,112117,112525
260,"High Point city, North Carolina",104371,104514,104697,105812,106541,107559,108796,110285,111685,111977,112316
261,"Downey city, California",111772,111775,111788,112232,112629,112934,113195,113398,113066,112596,112269
262,"Clovis city, California",95631,95835,96246,97423,98482,99548,101853,103807,106366,109362,112022
263,"Pompano Beach city, Florida",99845,99844,100072,101762,102911,104218,105549,106973,109402,110379,111954
264,"Pueblo city, Colorado",106595,106544,106834,107211,107556,107760,107921,109031,110173,111129,111750
265,"Elgin city, Illinois",108188,108147,108320,109160,109665,110128,111054,112018,112322,112181,111683
266,"Lowell city, Massachusetts",106519,106528,106787,107767,108805,109768,110541,111149,111250,111728,111670
267,"Antioch city, California",102372,102745,103082,104194,105580,107384,109119,110326,111074,111419,111535
268,"West Palm Beach city, Florida",99919,100666,100817,101499,102540,103443,104350,106893,108790,110345,111398
269,"Peoria city, Illinois",115007,115108,114936,115373,115746,116599,115916,115150,114189,112592,111388
270,"Everett city, Washington",103019,103070,103291,103557,104555,105175,106580,107219,109098,110385,111262
271,"San Buenaventura (Ventura) city, California",106433,107236,107458,108340,109064,109419,109641,109839,110127,110346,111128
272,"Centennial city, Colorado",100377,100635,100990,102510,104266,106667,107478,109170,109793,110453,110831
273,"Lakeland city, Florida",97422,97309,97679,98868,99035,100366,102082,103607,105917,107791,110516
274,"Gresham city, Oregon",105594,105639,106010,107715,108785,109240,110034,110387,111813,111342,110158
275,"Richmond city, California",103701,103262,103639,104888,106044,107119,107969,109082,109652,109786,110146
276,"Billings city, Montana",104170,104294,104521,105457,106772,108581,108458,109638,109647,109806,109550
277,"Inglewood city, California",109673,109672,109687,110542,110938,111055,110971,110860,110470,110108,109419
278,"Broken Arrow city, Oklahoma",98850,98838,99252,100225,102241,103674,105028,106931,107968,108450,109171
279,"Sandy Springs city, Georgia",93853,93820,94271,96664,98879,99381,101386,104791,105553,106544,108797
280,"Jurupa Valley city, California",(X),94989,95593,97188,98353,99479,100099,101474,103248,105739,108393
281,"Hillsboro city, Oregon",91611,92274,92569,94285,96364,98192,99873,102594,105371,107421,108389
282,"Waterbury city, Connecticut",110366,110329,110371,110086,110035,109751,109551,109018,108473,108277,108093
283,"Santa Maria city, California",99553,99595,99690,100299,101149,102112,103096,104532,105896,106375,107408
284,"Boulder city, Colorado",97385,97640,98512,101115,102169,103640,105482,107793,108288,107895,107353
